,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
21736,191924,369,128,20,False,False,19
21737,396624,11334,291,1742,False,False,18
21738,673709,31391,653,5035,False,False,17
21739,24002,885,17,716,False,False,23
21740,91579,0,0,28,False,True,14
21741,117174,8524,412,676,False,False,27
21742,90952,1171,72,107,False,False,12
21743,224690,552,136,304,False,False,17
21744,39139,364,64,27,False,False,6
21745,161233,637,239,75,False,False,16
21746,19716689,975738,9118,127045,False,False,16
21747,1496573,231285,12169,25643,False,False,17
21748,6859742,520289,14600,43779,False,False,22
21749,952722,40216,1108,2758,False,False,14
21750,1693269,4691,1254,1657,False,False,14
21751,717074,103865,2324,7172,False,False,17
21752,2060659,10311,1441,770,False,False,35
21753,1220394,36325,966,1538,False,False,25
21754,731882,34223,2651,2558,False,False,34
21755,3240774,28523,2396,1445,False,False,10
21756,1038530,7452,3964,1564,False,False,40
21757,1733249,40568,1830,2572,False,False,23
21758,1094364,15811,1711,1678,False,False,26
21759,1011306,3745,11245,0,True,False,21
21760,1682255,48373,1530,2598,False,False,27
21761,670294,1728,830,0,True,False,19
21762,1175967,4655,945,896,False,False,7
21763,6419624,507085,8366,45458,False,False,13
21764,321777,7220,109,410,False,False,18
21765,436767,24567,2143,1845,False,False,24
21766,792484,5417,575,944,False,False,23
21767,2940141,81501,2957,4638,False,False,27
21768,1311507,6622,1860,666,False,False,30
21769,13411878,235580,5748,20564,False,False,24
21770,2057452,40398,1569,1661,False,False,16
21771,379993,2653,318,70,False,False,11
21772,687536,13988,314,478,False,False,14
21773,254813,5109,140,377,False,False,21
21774,402916,32198,524,2293,False,False,26
21775,1156017,36608,2358,1248,False,False,35
21776,239331,1057,411,478,False,False,21
21777,13295746,140386,6367,6223,False,False,23
21778,178737,673,179,83,False,False,24
21779,172753,4946,156,1540,False,False,19
21780,360966,2028,1037,782,False,False,28
21781,549611,4999,194,163,False,False,32
21782,801476,3494,1070,315,False,False,13
21783,157036,4065,63,157,False,False,20
21784,99205,3422,904,869,False,False,8
21785,1734728,13104,1650,1004,False,False,22
21786,935444,16040,1373,2843,False,False,23
21787,589386,4120,523,429,False,False,14
21788,119021,14150,1176,777,False,False,19
21789,258329,8673,887,1377,False,False,19
21790,2035459,49845,1444,3532,False,False,21
21791,1794534,128376,1913,7762,False,False,4
21792,555157,5947,571,271,False,False,9
21793,1121914,7879,2189,2641,False,False,13
21794,174052,1575,212,132,False,False,14
21795,30180849,1242231,16902,158039,False,False,16
21796,4378130,202608,21502,24951,False,False,25
21797,2245003,278905,16084,30379,False,False,17
21798,1480483,4762,1192,708,False,False,29
21799,463403,3500,539,518,False,False,37
21800,1068934,127806,3207,8509,False,False,17
21801,1194213,45444,1336,3120,False,False,14
21802,2079090,5393,1559,1878,False,False,14
21803,7491195,539985,15441,44701,False,False,22
21804,2461051,19275,2018,1434,False,False,13
21805,764380,3367,445,211,False,False,35
21806,103536,742,139,26,False,False,25
21807,1807110,21238,2444,1968,False,False,26
21808,1036551,41542,3270,2934,False,False,34
21809,2695116,10542,3155,1275,False,False,30
21810,634142,4942,471,1041,False,False,23
21811,173274,976,220,126,False,False,28
21812,277431,2112,490,701,False,False,33
21813,340442,723,304,260,False,False,18
21814,80803,671,108,74,False,False,23
21815,252455,11828,1077,637,False,False,22
21816,1552282,41884,1132,1665,False,False,25
21817,3851828,30955,2832,1674,False,False,10
